repo,tag,layer_count
airdock/oracle-jdk,latest,22
airgapit/fossology,latest,17
akeem/selenium-node-phantomjs,latest,22
akerbis/shoutcast2hls,latest,13
akkerman/rpi-nginx,latest,13
akkerman/rpi-node,latest,9
akoeplinger/mono-aspnetvnext,latest,21
aksw/ontowiki-ubuntu-nginx,latest,20
akursar/ventrilo,latest,23
akursar/luigid,latest,24
akyshr/ubuntu-lxde-tigervnc,latest,37
alanct/cloud9,latest,11
alandipert/datomic-free,0,39
albertdixon/sickrage,latest,11
albertdixon/transmission,latest,18
albertoruibal/odoo,latest,21
aldrin/apache-nifi,latest,13
aldryn/docker-distribution,latest,26
alerta/alerta-web,latest,28
alex19pov31/bitrixenv,latest,13
alex3714/crazyeye,latest,8
alexanderm/docker-splunk,latest,21
alexandretoyer/opensearchserver,latest,19
alexcheng/docker-grafana-influxdb,latest,18
alexcheng/magento,latest,45
alexeiled/docker-oracle-xe-11g,latest,32
alexeym/301-to-www,latest,17
alexeymasolov/docker-octobercms-nginx-ssh,latest,47
alexl/fedora-19,latest,3
alexlun/bitcoin-regtest,latest,21
alexturek/aws-cli-docker,latest,21
alexwhen/docker-2048,latest,7
alexwitherspoon/miniature-wookie,latest,20
alezzandro/kamailio-latest-stable,latest,8
alfonso/nginx-phalcon,latest,20
aliuwr/v2ray,latest,21
allegro/hermes-management,latest,19
allegro/hermes-consumers,latest,19
allegro/hermes-frontend,latest,20
allingeek/registry,2-s3,14
allingeek/docker-freegeoip,latest,24
allegrogroup/ralph,latest,50
allisson/docker-ubuntu,latest,11
allisson/docker-postgresql,latest,29
allisson/docker-mongodb,latest,27
alljoynsville/eclipse-cpp-x11,latest,11
alreece45/phusion-nginx-php,latest,18
alreece45/phusion-mysql,latest,22
alshabib/onos,1,30
alterrebe/postfix-relay,latest,21
alterway/mysql,5,20
alterway/mailcatcher,latest,6
aluedeke/appium-android,latest,27
alunduil/roundcube,latest,25
alvaromorales/influxdb-latest,latest,32
amancevice/influxdb-cluster,0,12
amanly/websphere_8_5_5,latest,5
amatriain/prestashop,1,44
amazon/amazon-ecs-sample,latest,17
amazon/aws-eb-python,3,34
amazon/aws-eb-glassfish,4,19
amazon/amazon-ecs-agent,latest,6
ambakshi/amazon-linux,latest,1
ambakshi/wine-x11-vcpython27,latest,37
ambakshi/perforce-server,latest,25
ambakshi/perforce-git-fusion,latest,36
ambroisemaupate/ftp-backup,latest,17
ambroisemaupate/littleship,latest,29
amdatu/amdatu-vulcanized,latest,6
amdtech/weechat,latest,9
aminjam/couchbase-sync-gateway,latest,13
aminjam/couchbase,latest,13
aminjam/nginx-static,latest,23
amitgandhinz/mimic,latest,20
amouat/revealjs,latest,25
amouat/network-utils,latest,3
ampache/ampache,latest,33
amplab/dnsmasq-precise,latest,14
amplab/shark-master,0,37
amplab/spark-master,1,32
amplab/shark-shell,0,37
amplab/spark-worker,1,34
amplab/shark-worker,0,37
amplab/spark-shell,1,33
analogic/mail-server,latest,1
analogic/lemanager,latest,14
analyser/fluentd,latest,27
anapsix/nodejs,latest,6
anapsix/alpine-java,latest,4
anapsix/redis,latest,9
anapsix/rancher-server,latest,25
anapsix/rancher-agent,latest,7
anapsix/docker-oracle-java8,latest,13
anapsix/gitlab-ci,latest,23
anapsix/etcd,latest,6
andaag/sklearn_notebook3,latest,17
andlaz/hadoop-oozie,latest,44
andnexus/android-docker,latest,45
andreasjansson/collectd-write-graphite,latest,13
andreaturli/incubator-brooklyn,latest,18
andredumas/travis-ci-cli,latest,14
andrei821/docker-php5-fpm,latest,13
andreluiznsilva/tools,latest,17
andreluiznsilva/java,wildfly8,28
andreluiznsilva/database,oracle11g,19
andreptb/activemq,latest,14
andreptb/mule,latest,13
andreptb/oracle-java,latest,6
andreptb/wildfly,latest,12
andreptb/tomcat,latest,17
andreptb/jboss-as,latest,12
andreschenkels/odoo9-ubuntu1404,1,5
andresriancho/w3af,latest,45
andrewcurioso/huginn,latest,36
andrewd/rust-musl,latest,6
andrewgortonuk/dockerjenkinswithgitdata,latest,10
andrewh/kibana3,latest,13
andrewholgate/drupal-php70,latest,49
andrewholgate/drupal-php55-dev,latest,64
andrewmichaelsmith/kippo,latest,13
andrewrothstein/docker-kafka,latest,24
andypetrella/spark-notebook,0,20
andyshinn/alpine-abuild,latest,8
andyshinn/dnsmasq,latest,4
andyshinn/remote_syslog2,latest,3
andystanton/gcc-cmake-gl,latest,13
angoca/db2-instance,latest,29
angoca/db2-install,latest,20
anhowe/azure-file-workload,latest,9
anigeo/node-forever,latest,12
anigeo/awscli,latest,4
ankurcha/tokumx,latest,27
anmol1696/pysph-docker,latest,17
ansi/mosquitto,latest,20
ansible/centos7-ansible,latest,15
antfie/wordpress,latest,10
anthonydahanne/terracotta-server-oss,latest,30
anthonydahanne/flexget,latest,26
antirek/astolua,latest,18
antonyh/cucumber,latest,25
any35/golang-web-vim,latest,25
anyei/jenkins-to-salesforce,latest,50
aostanin/deluge,latest,12
aostanin/nzbget,latest,6
apachegeode/geode,unstable,14
apacheignite/ignite-docker,latest,16
apacheignite/ignite,latest,20
apachesling/sling,latest,20
apcera/gnatsd,latest,6
apereo/cas,v4,20
apiwise/allegrograph,latest,12
apobbati/titan-rexster,latest,20
appcontainers/mysql,latest,18
appcontainers/jenkins,latest,18
appcontainers/wordpress,latest,41
appcontainers/prestashop,latest,28
appcontainers/centos,latest,1
appcontainers/nagios,latest,20
appcontainers/mediawiki,latest,41
appcontainers/samba,latest,15
appcontainers/oxwall,latest,21
appcontainers/ubuntu,latest,1
appcontainers/debian,latest,1
appcontainers/haproxy,latest,24
appcontainers/laravel,latest,44
appdynamics/ecommerce-load,latest,30
applieddataconsultants/apache-php,latest,25
appliedtrust/traildash,latest,15
appscale/appscale,latest,10
appsembler/edx-lite-cypress,latest,28
appsembler/edx-lite,latest,29
appsembler/edx-full,latest,15
appunite/go-cd,latest,30
appverse/docker-appverse-html5-buildpack,latest,16
apsl/django,latest,41
apsl/thumbor,latest,30
apsl/remotecv,latest,28
apsl/lamp,latest,45
